品名,别名,CAS号
氙[压缩的或液化的],,7440-63-3
硝铵炸药,铵梯炸药,
硝化甘油[按质量含有不低于40%不挥发、不溶于水的减敏剂],硝化丙三醇；甘油三硝酸酯,55-63-0
硝化甘油乙醇溶液[含硝化甘油≤10%],硝化丙三醇乙醇溶液；甘油三硝酸酯乙醇溶液,
硝化淀粉,,9056-38-6
硝化二乙醇胺火药,,
硝化沥青,,
硝化酸混合物,硝化混合酸,51602-38-1
硝化纤维素[干的或含水（或乙醇）＜25%],硝化棉,9004-70-0
"硝化纤维素[含氮≤12.6%,含乙醇≥25%]",,
硝化纤维素[含氮≤12.6%],,
硝化纤维素[含水≥25%],,
硝化纤维素[含乙醇≥25%],,
硝化纤维素[未改型的，或增塑的，含增塑剂＜18%],,
"硝化纤维素溶液[含氮量≤12.6%,含硝化纤维素≤55%]",硝化棉溶液,
"硝化纤维塑料[板、片、棒、管、卷等状,不包括碎屑]",赛璐珞,8050-88-2
硝化纤维塑料碎屑,赛璐珞碎屑,
"3-硝基-1,2-二甲苯","1,2-二甲基-3-硝基苯；3-硝基邻二甲苯",83-41-0
"4-硝基-1,2-二甲苯","1,2-二甲基-4-硝基苯；4-硝基邻二甲苯；4,5-二甲基硝基苯",99-51-4
"2-硝基-1,3-二甲苯","1,3-二甲基-2-硝基苯；2-硝基间二甲苯",81-20-9
"4-硝基-1,3-二甲苯","1,3-二甲基-4-硝基苯；4-硝基间二甲苯；2,4-二甲基硝基苯；对硝基间二甲苯",89-87-2
"5-硝基-1,3-二甲苯","1,3-二甲基-5-硝基苯；5-硝基间二甲苯；3,5-二甲基硝基苯",36501
4-硝基-2-氨基苯酚,2-氨基-4-硝基苯酚；邻氨基对硝基苯酚；对硝基邻氨基苯酚,99-57-0
5-硝基-2-氨基苯酚,2-氨基-5-硝基苯酚,121-88-0
4-硝基-2-甲苯胺,对硝基邻甲苯胺,99-52-5
4-硝基-2-甲氧基苯胺,5-硝基-2-氨基苯甲醚；对硝基邻甲氧基苯胺,97-52-9
2-硝基-4-甲苯胺,邻硝基对甲苯胺,89-62-3
3-硝基-4-甲苯胺,间硝基对甲苯胺,119-32-4
2-硝基-4-甲苯酚,4-甲基-2-硝基苯酚,119-33-5
2-硝基-4-甲氧基苯胺,枣红色基GP,96-96-8
3-硝基-4-氯三氟甲苯,2-氯-5-三氟甲基硝基苯,121-17-5
3-硝基-4-羟基苯胂酸,4-羟基-3-硝基苯胂酸,121-19-7
"3-硝基-N,N-二甲基苯胺","N,N-二甲基间硝基苯胺；间硝基二甲苯胺",619-31-8
"4-硝基-N,N-二甲基苯胺","N,N-二甲基对硝基苯胺；对硝基二甲苯胺",100-23-2
"4-硝基-N,N-二乙基苯胺","N,N-二乙基对硝基苯胺；对硝基二乙基苯胺",2216-15-1
硝基苯,,98-95-3
2-硝基苯胺,邻硝基苯胺；1-氨基-2-硝基苯,88-74-4
3-硝基苯胺,间硝基苯胺；1-氨基-3-硝基苯,36405
4-硝基苯胺,对硝基苯胺；1-氨基-4-硝基苯,100-01-6
5-硝基苯并三唑,硝基连三氮杂茚,160318
2-硝基苯酚,邻硝基苯酚,88-75-5
3-硝基苯酚,间硝基苯酚,554-84-7
4-硝基苯酚,对硝基苯酚,100-02-7
2-硝基苯磺酰氯,邻硝基苯磺酰氯,1694-92-4
3-硝基苯磺酰氯,间硝基苯磺酰氯,121-51-7
4-硝基苯磺酰氯,对硝基苯磺酰氯,98-74-8
2-硝基苯甲醚,邻硝基苯甲醚；邻硝基茴香醚；邻甲氧基硝基苯,91-23-6
3-硝基苯甲醚,间硝基苯甲醚；间硝基茴香醚；间甲氧基硝基苯,555-03-3
4-硝基苯甲醚,对硝基苯甲醚；对硝基茴香醚；对甲氧基硝基苯,100-17-4
4-硝基苯甲酰胺,对硝基苯甲酰胺,619-80-7
2-硝基苯甲酰氯,邻硝基苯甲酰氯,610-14-0
3-硝基苯甲酰氯,间硝基苯甲酰氯,121-90-4
4-硝基苯甲酰氯,对硝基苯甲酰氯,122-04-3
2-硝基苯肼,邻硝基苯肼,3034-19-3
4-硝基苯肼,对硝基苯肼,100-16-3
2-硝基苯胂酸,邻硝基苯胂酸,5410-29-7
3-硝基苯胂酸,间硝基苯胂酸,618-07-5
4-硝基苯胂酸,对硝基苯胂酸,98-72-6
4-硝基苯乙腈,对硝基苯乙腈；对硝基苄基氰；对硝基氰化苄,555-21-5
2-硝基苯乙醚,邻硝基苯乙醚；邻乙氧基硝基苯,610-67-3
4-硝基苯乙醚,对硝基苯乙醚；对乙氧基硝基苯,100-29-8
3-硝基吡啶,,2530-26-9
1-硝基丙烷,,108-03-2
2-硝基丙烷,,79-46-9
2-硝基碘苯,2-碘硝基苯；邻硝基碘苯；邻碘硝基苯,609-73-4
3-硝基碘苯,3-碘硝基苯；间硝基碘苯；间碘硝基苯,645-00-1
4-硝基碘苯,4-碘硝基苯；对硝基碘苯；对碘硝基苯,636-98-6
1-硝基丁烷,,627-05-4
2-硝基丁烷,,600-24-8
硝基苊,,602-87-9
硝基胍,橄苦岩,556-88-7
2-硝基甲苯,邻硝基甲苯,88-72-2
3-硝基甲苯,间硝基甲苯,36373
4-硝基甲苯,对硝基甲苯,99-99-0
硝基甲烷,,75-52-5
2-硝基联苯,邻硝基联苯,86-00-0
4-硝基联苯,对硝基联苯,92-93-3
2-硝基氯化苄,邻硝基苄基氯；邻硝基氯化苄；邻硝基苯氯甲烷,612-23-7
3-硝基氯化苄,间硝基苯氯甲烷；间硝基苄基氯；间硝基氯化苄,619-23-8
4-硝基氯化苄,对硝基氯化苄；对硝基苄基氯；对硝基苯氯甲烷,100-14-1
硝基马钱子碱,卡可西灵,561-20-6
2-硝基萘,,581-89-5
1-硝基萘,,86-57-7
硝基脲,,556-89-8
硝基三氟甲苯,,
硝基三唑酮,NTO,932-64-9
2-硝基溴苯,邻硝基溴苯；邻溴硝基苯,577-19-5
3-硝基溴苯,间硝基溴苯；间溴硝基苯,585-79-5
4-硝基溴苯,对硝基溴苯；对溴硝基苯,586-78-7
4-硝基溴化苄,对硝基溴化苄；对硝基苯溴甲烷；对硝基苄基溴,100-11-8
硝基盐酸,王水,8007-56-5
硝基乙烷,,79-24-3
硝酸,,7697-37-2
"硝酸铵[含可燃物＞0.2%,包括以碳计算的任何有机物,但不包括任何其它添加剂]",,6484-52-2
硝酸铵[含可燃物≤0.2%],,
"硝酸铵肥料[比硝酸铵(含可燃物＞0.2%,包括以碳计算的任何有机物,但不包括任何其它添加剂)更易爆炸]",,
硝酸铵肥料[含可燃物≤0.4%],,
硝酸钡,,10022-31-8
硝酸苯胺,,542-15-4
硝酸苯汞,,55-68-5
硝酸铋,,10361-44-1
硝酸镝,,10143-38-1
硝酸铒,,10168-80-6
硝酸钙,,10124-37-5
硝酸锆,,13746-89-9
硝酸镉,,10325-94-7
硝酸铬,,13548-38-4
硝酸汞,硝酸高汞,10045-94-0
硝酸钴,硝酸亚钴,10141-05-6
硝酸胍,硝酸亚氨脲,506-93-4
硝酸镓,,13494-90-1
硝酸甲胺,,22113-87-7
硝酸钾,,7757-79-1
硝酸镧,,10099-59-9
硝酸铑,,10139-58-9
硝酸锂,,7790-69-4
硝酸镥,,10099-67-9
硝酸铝,,7784-27-2
硝酸镁,,10377-60-3
硝酸锰,硝酸亚锰,20694-39-7
硝酸钠,,7631-99-4
硝酸脲,,124-47-0
硝酸镍,二硝酸镍,13138-45-9
硝酸镍铵,四氨硝酸镍,
硝酸钕,,16454-60-7
硝酸钕镨,硝酸镨钕,134191-62-1
硝酸铍,,13597-99-4
硝酸镨,,10361-80-5
硝酸铅,,10099-74-8
硝酸羟胺,,13465-08-2
硝酸铯,,7789-18-6
硝酸钐,,13759-83-6
硝酸铈,硝酸亚铈,10108-73-3
硝酸铈铵,,16774-21-3
硝酸铈钾,,
硝酸铈钠,,
硝酸锶,,10042-76-9
硝酸铊,硝酸亚铊,10102-45-1
硝酸铁,硝酸高铁,10421-48-4
硝酸铜,,10031-43-3
硝酸锌,,7779-88-6
硝酸亚汞,,7782-86-7
硝酸氧锆,硝酸锆酰,13826-66-9
硝酸乙酯醇溶液,,
硝酸钇,,13494-98-9
硝酸异丙酯,,1712-64-7
硝酸异戊酯,,543-87-3
硝酸镱,,35725-34-9；
,,13768-67-7
硝酸铟,,13770-61-1
硝酸银,,7761-88-8
硝酸正丙酯,,627-13-4
硝酸正丁酯,,928-45-0
硝酸正戊酯,,1002-16-0
硝酸重氮苯,,619-97-6
辛二腈,"1,6-二氰基戊烷",629-40-3
辛二烯,,3710-30-3
辛基苯酚,,27193-28-8
辛基三氯硅烷,,5283-66-9
1-辛炔,,629-05-0
2-辛炔,,2809-67-8
3-辛炔,,15232-76-5
4-辛炔,,1942-45-6
辛酸亚锡,含锡稳定剂,301-10-0
3-辛酮,乙基戊基酮；乙戊酮,106-68-3
1-辛烯,,111-66-0
2-辛烯,,111-67-1
辛酰氯,,111-64-8
锌尘,,7440-66-6
锌粉,,
锌灰,,
锌汞齐,锌汞合金,
D型2-重氮-1-萘酚磺酸酯混合物,,
溴,溴素,7726-95-6
溴水[含溴≥3.5%],,
"3-溴-1,2-二甲基苯","间溴邻二甲苯；2,3-二甲基溴化苯",576-23-8
"4-溴-1,2-二甲基苯","对溴邻二甲苯；3,4-二甲基溴",583-71-1
"3-溴-1,2-环氧丙烷",环氧溴丙烷；溴甲基环氧乙烷；表溴醇,3132-64-7
3-溴-1-丙烯,3-溴丙烯；烯丙基溴,106-95-6
"1-溴-2,4-二硝基苯","3,4-二硝基溴化苯；1,3-二硝基-4-溴化苯；2,4-二硝基溴化苯",584-48-5
2-溴-2-甲基丙酸乙酯,2-溴异丁酸乙酯,600-00-0
1-溴-2-甲基丙烷,异丁基溴；溴代异丁烷,78-77-3
2-溴-2-甲基丙烷,叔丁基溴；特丁基溴；溴代叔丁烷,507-19-7
4-溴-2-氯氟苯,,60811-21-4
1-溴-3-甲基丁烷,异戊基溴；溴代异戊烷,107-82-4
溴苯,,108-86-1
2-溴苯胺,邻溴苯胺；邻氨基溴化苯,615-36-1
3-溴苯胺,间溴苯胺；间氨基溴化苯,591-19-5
4-溴苯胺,对溴苯胺；对氨基溴化苯,106-40-1
2-溴苯酚,邻溴苯酚,95-56-7
3-溴苯酚,间溴苯酚,591-20-8
4-溴苯酚,对溴苯酚,106-41-2
4-溴苯磺酰氯,,98-58-8
4-溴苯甲醚,对溴苯甲醚；对溴茴香醚,104-92-7
2-溴苯甲酰氯,邻溴苯甲酰氯,7154-66-7
4-溴苯甲酰氯,对溴苯甲酰氯；氯化对溴代苯甲酰,586-75-4
溴苯乙腈,溴苄基腈,5798-79-8
4-溴苯乙酰基溴,对溴苯乙酰基溴,99-73-0
3-溴丙腈,β-溴丙腈；溴乙基氰,2417-90-5
3-溴丙炔,,106-96-7
2-溴丙酸,α-溴丙酸,598-72-1
3-溴丙酸,β-溴丙酸,590-92-1
溴丙酮,,598-31-2
1-溴丙烷,正丙基溴；溴代正丙烷,106-94-5
2-溴丙烷,异丙基溴；溴代异丙烷,75-26-3
2-溴丙酰溴,溴化-2-溴丙酰,563-76-8
3-溴丙酰溴,溴化-3-溴丙酰,7623-16-7
溴代环戊烷,环戊基溴,137-43-9
溴代正戊烷,正戊基溴,110-53-2
1-溴丁烷,正丁基溴；溴代正丁烷,109-65-9
2-溴丁烷,仲丁基溴；溴代仲丁烷,78-76-2
溴化苄,α-溴甲苯；苄基溴,100-39-0
溴化丙酰,丙酰溴,598-22-1
溴化汞,二溴化汞；溴化高汞,7789-47-1
溴化氢,,10035-10-6
溴化氢乙酸溶液,溴化氢醋酸溶液,
溴化硒,,7789-52-8
溴化亚汞,一溴化汞,10031-18-2
溴化亚铊,一溴化铊,7789-40-4
溴化乙酰,乙酰溴,506-96-7
溴己烷,己基溴,111-25-1
2-溴甲苯,邻溴甲苯；邻甲基溴苯；2-甲基溴苯,95-46-5
3-溴甲苯,间溴甲苯；间甲基溴苯；3-甲基溴苯,591-17-3
4-溴甲苯,对溴甲苯；对甲基溴苯；4-甲基溴苯,106-38-7
溴甲烷,甲基溴,74-83-9
溴甲烷和二溴乙烷液体混合物,,
"3-[3-(4'-溴联苯-4-基)-1,2,3,4-四氢-1-萘基]-4-羟基香豆素",溴鼠灵,56073-10-0
3-[3-(4-溴联苯-4-基)-3-羟基-1-苯丙基]-4-羟基香豆素,溴敌隆,28772-56-7
溴三氟甲烷,R13B1；三氟溴甲烷,75-63-8
溴酸,,7789-31-3
溴酸钡,,13967-90-3
溴酸镉,,14518-94-6
溴酸钾,,2139594
溴酸镁,,7789-36-8
溴酸钠,,7789-38-0
溴酸铅,,34018-28-5
溴酸锶,,14519-18-7
溴酸锌,,14519-07-4
溴酸银,,7783-89-3
2-溴戊烷,仲戊基溴；溴代仲戊烷,107-81-3
2-溴乙醇,,540-51-2
2-溴乙基乙醚,,592-55-2
溴乙酸,溴醋酸,29070
溴乙酸甲酯,溴醋酸甲酯,96-32-2
溴乙酸叔丁酯,溴醋酸叔丁酯,5292-43-3
溴乙酸乙酯,溴醋酸乙酯,105-36-2
溴乙酸异丙酯,溴醋酸异丙酯,29921-57-1
溴乙酸正丙酯,溴醋酸正丙酯,35223-80-4
溴乙烷,乙基溴；溴代乙烷,74-96-4
溴乙烯[稳定的],乙烯基溴,593-60-2
溴乙酰苯,苯甲酰甲基溴,25873
溴乙酰溴,溴化溴乙酰,598-21-0
"β,β'-亚氨基二丙腈",双(β-氰基乙基)胺,111-94-4
亚氨基二亚苯,咔唑；9-氮杂芴,86-74-8
亚胺乙汞,埃米,2597-93-5
亚碲酸钠,,10102-20-2
"4,4'-亚甲基双苯胺","亚甲基二苯胺；4,4'-二氨基二苯基甲烷；防老剂MDA",101-77-9
亚磷酸,,13598-36-2
亚磷酸二丁酯,,1809-19-4
亚磷酸二氢铅,二盐基亚磷酸铅,1344-40-7；
,,12141-20-7
亚磷酸三苯酯,,101-02-0
亚磷酸三甲酯,三甲氧基磷,121-45-9
亚磷酸三乙酯,,122-52-1
亚硫酸,,7782-99-2
亚硫酸氢铵,酸式亚硫酸铵,10192-30-0
亚硫酸氢钙,酸式亚硫酸钙,13780-03-5
亚硫酸氢钾,酸式亚硫酸钾,2145137
亚硫酸氢镁,酸式亚硫酸镁,13774-25-9
亚硫酸氢钠,酸式亚硫酸钠,7631-90-5
亚硫酸氢锌,酸式亚硫酸锌,15457-98-4
亚氯酸钙,,14674-72-7
亚氯酸钠,,7758-19-2
亚氯酸钠溶液[含有效氯＞5%],,
亚砷酸钡,,125687-68-5
亚砷酸钙,亚砒酸钙,27152-57-4
亚砷酸钾,偏亚砷酸钾,10124-50-2
亚砷酸钠,偏亚砷酸钠,7784-46-5
亚砷酸钠水溶液,,
亚砷酸铅,,10031-13-7
亚砷酸锶,原亚砷酸锶,91724-16-2
亚砷酸锑,,
亚砷酸铁,,63989-69-5
亚砷酸铜,亚砷酸氢铜,10290-12-7
亚砷酸锌,,10326-24-6
亚砷酸银,原亚砷酸银,2149310
亚硒酸,,7783-00-8
亚硒酸钡,,13718-59-7
亚硒酸钙,,13780-18-2
亚硒酸钾,,10431-47-7
亚硒酸铝,,20960-77-4
亚硒酸镁,,15593-61-0
亚硒酸钠,亚硒酸二钠,10102-18-8
亚硒酸氢钠,重亚硒酸钠,7782-82-3
亚硒酸铈,,15586-47-7
亚硒酸铜,,15168-20-4
亚硒酸银,,28041-84-1
"4-亚硝基-N,N-二甲基苯胺","对亚硝基二甲基苯胺；N,N-二甲基-4-亚硝基苯胺",138-89-6
"4-亚硝基-N,N-二乙基苯胺","对亚硝基二乙基苯胺；N,N-二乙基-4-亚硝基苯胺",120-22-9
4-亚硝基苯酚,对亚硝基苯酚,104-91-6
N-亚硝基二苯胺,二苯亚硝胺,86-30-6
N-亚硝基二甲胺,二甲基亚硝胺,62-75-9
亚硝基硫酸,亚硝酰硫酸,7782-78-7
亚硝酸铵,,13446-48-5
亚硝酸钡,,13465-94-6
亚硝酸钙,,13780-06-8
亚硝酸甲酯,,624-91-9
亚硝酸钾,,7758-09-0
亚硝酸钠,,7632-00-0
亚硝酸镍,,17861-62-0
亚硝酸锌铵,,63885-01-8
亚硝酸乙酯,,109-95-5
亚硝酸乙酯醇溶液,,
亚硝酸异丙酯,,541-42-4
亚硝酸异丁酯,,542-56-3
亚硝酸异戊酯,,110-46-3
亚硝酸正丙酯,,543-67-9
亚硝酸正丁酯,亚硝酸丁酯,544-16-1
亚硝酸正戊酯,亚硝酸戊酯,463-04-7
亚硝酰氯,氯化亚硝酰,2696-92-6
"1,2-亚乙基双二硫代氨基甲酸二钠",代森钠,142-59-6
氩[压缩的或液化的],,7440-37-1
烟碱氯化氢,烟碱盐酸盐,2820-51-1
盐酸,氢氯酸,7647-01-0
盐酸-1-萘胺,α-萘胺盐酸,552-46-5
盐酸-1-萘乙二胺,α-萘乙二胺盐酸,1465-25-4
盐酸-2-氨基酚,盐酸邻氨基酚,51-19-4
盐酸-2-萘胺,β-萘胺盐酸,612-52-2
"盐酸-3,3'-二氨基联苯胺","3,3'-二氨基联苯胺盐酸；3,4,3',4'-四氨基联苯盐酸；硒试剂",7411-49-6
"盐酸-3,3'-二甲基-4,4'-二氨基联苯","邻二氨基二甲基联苯盐酸；3,3'-二甲基联苯胺盐酸",612-82-8
"盐酸-3,3'-二甲氧基-4,4'-二氨基联苯","邻联二茴香胺盐酸；3,3'-二甲氧基联苯胺盐酸",20325-40-0
"盐酸-3,3'-二氯联苯胺","3,3'-二氯联苯胺盐酸",612-83-9
盐酸-3-氯苯胺,盐酸间氯苯胺；橙色基GC,141-85-5
"盐酸-4,4'-二氨基联苯",盐酸联苯胺；联苯胺盐酸,531-85-1
"盐酸-4-氨基-N,N-二乙基苯胺","N,N-二乙基对苯二胺盐酸；对氨基-N,N-二乙基苯胺盐酸",16713-15-8
盐酸-4-氨基酚,盐酸对氨基酚,51-78-5
盐酸-4-甲苯胺,对甲苯胺盐酸盐；盐酸-4-甲苯胺,540-23-8
盐酸苯胺,苯胺盐酸盐,142-04-1
盐酸苯肼,苯肼盐酸,27140-08-5
盐酸邻苯二胺,邻苯二胺二盐酸盐；盐酸邻二氨基苯,615-28-1
盐酸间苯二胺,间苯二胺二盐酸盐；盐酸间二氨基苯,541-69-5
盐酸对苯二胺,对苯二胺二盐酸盐；盐酸对二氨基苯,624-18-0
盐酸马钱子碱,二甲氧基士的宁盐酸盐,5786-96-9
盐酸吐根碱,盐酸依米丁,316-42-7
氧[压缩的或液化的],,7782-44-7
氧化钡,一氧化钡,1304-28-5
氧化苯乙烯,环氧乙基苯,35311
"β,β'-氧化二丙腈","2,2'-二氰二乙基醚；3,3'-氧化二丙腈；双(2-氰乙基)醚",1656-48-0
氧化镉[非发火的],,1306-19-0
氧化汞,一氧化汞；黄降汞；红降汞,21908-53-2
氧化环己烯,,286-20-4
氧化钾,,12136-45-7
氧化钠,,1313-59-3
氧化铍,,1304-56-9
氧化铊,三氧化二铊,1314-32-5
氧化亚汞,黑降汞,15829-53-5
氧化亚铊,一氧化二铊,1314-12-1
氧化银,,20667-12-3
氧氯化铬,氯化铬酰；二氯氧化铬；铬酰氯,14977-61-8
氧氯化硫,硫酰氯；二氯硫酰；磺酰氯,7791-25-5
氧氯化硒,氯化亚硒酰；二氯氧化硒,7791-23-3
氧氰化汞[减敏的],氰氧化汞,1335-31-5
氧溴化磷,溴化磷酰；磷酰溴；三溴氧化磷,7789-59-5
腰果壳油,脱羧腰果壳液,8007-24-7
液化石油气,石油气[液化的],68476-85-7
一氟乙酸对溴苯胺,,351-05-3
一甲胺[无水],氨基甲烷；甲胺,74-89-5
一甲胺溶液,氨基甲烷溶液；甲胺溶液,
一氯丙酮,氯丙酮；氯化丙酮,78-95-5
一氯二氟甲烷,R22；二氟一氯甲烷；氯二氟甲烷,75-45-6
一氯化碘,,7790-99-0
一氯化硫,氯化硫,10025-67-9
一氯三氟甲烷,R13,75-72-9
一氯五氟乙烷,R115,76-15-3
一氯乙醛,氯乙醛；2-氯乙醛,107-20-0
一溴化碘,,7789-33-5
一氧化氮,,10102-43-9
一氧化氮和四氧化二氮混合物,,
一氧化二氮[压缩的或液化的],氧化亚氮；笑气,10024-97-2
一氧化铅,氧化铅；黄丹,1317-36-8
一氧化碳,,630-08-0
一氧化碳和氢气混合物,水煤气,
乙胺,氨基乙烷,27491
乙胺水溶液[浓度50%～70%],氨基乙烷水溶液,
乙苯,乙基苯,100-41-4
乙撑亚胺,吖丙啶；1-氮杂环丙烷；氮丙啶,151-56-4
乙撑亚胺[稳定的],,
乙醇[无水],无水酒精,64-17-5
乙醇钾,,917-58-8
乙醇钠,乙氧基钠,141-52-6
乙醇钠乙醇溶液,乙醇钠合乙醇,
"1,2-乙二胺","1,2-二氨基乙烷；乙撑二胺",107-15-3
乙二醇单甲醚,2-甲氧基乙醇；甲基溶纤剂,109-86-4
乙二醇二乙醚,"1,2-二乙氧基乙烷；二乙基溶纤剂",629-14-1
乙二醇乙醚,2-乙氧基乙醇；乙基溶纤剂,110-80-5
乙二醇异丙醚,2-异丙氧基乙醇,109-59-1
乙二酸二丁酯,草酸二丁酯；草酸丁酯,2050-60-4
乙二酸二甲酯,草酸二甲酯；草酸甲酯,553-90-2
乙二酸二乙酯,草酸二乙酯；草酸乙酯,95-92-1
乙二酰氯,氯化乙二酰；草酰氯,79-37-8
乙汞硫水杨酸钠盐,硫柳汞钠,54-64-8
2-乙基-1-丁醇,2-乙基丁醇,97-95-0
2-乙基-1-丁烯,,760-21-4
N-乙基-1-萘胺,N-乙基-α-萘胺,118-44-5
N-(2-乙基-6-甲基苯基)-N-乙氧基甲基-氯乙酰胺 ,乙草胺,34256-82-1
N-乙基-N-(2-羟乙基)全氟辛基磺酰胺,,1691-99-2
O-乙基-O-(3-甲基-4-甲硫基)苯基-N-异丙氨基磷酸酯,苯线磷,22224-92-6
O-乙基-O-(4-硝基苯基)苯基硫代膦酸酯[含量＞15%],苯硫膦,2104-64-5
O-乙基-O-[(2-异丙氧基酰基)苯基]-N-异丙基硫代磷酰胺,异柳磷,25311-71-1
"O-乙基-O-2,4,5-三氯苯基-乙基硫代膦酸酯","O-乙基-O-2,4,5-三氯苯基-乙基硫代膦酸酯；毒壤膦",327-98-0
"O-乙基-S,S-二苯基二硫代磷酸酯 ",敌瘟磷,17109-49-8
"O-乙基-S,S-二丙基二硫代磷酸酯",灭线磷,13194-48-4
O-乙基-S-苯基乙基二硫代膦酸酯[含量＞6%],地虫硫膦,944-22-9
2-乙基苯胺,邻乙基苯胺；邻氨基乙苯,578-54-1
N-乙基苯胺,,103-69-5
乙基苯基二氯硅烷,,1125-27-5
2-乙基吡啶,,100-71-0
3-乙基吡啶,,536-78-7
4-乙基吡啶,,536-75-4
乙基丙基醚,乙丙醚,628-32-0
1-乙基丁醇,3-己醇,623-37-0
2-乙基丁醛,二乙基乙醛,97-96-1
N-乙基对甲苯胺,乙氨基对甲苯,622-57-1
乙基二氯硅烷,,1789-58-8
乙基二氯胂,二氯化乙基胂,598-14-1
乙基环己烷,,1678-91-7
乙基环戊烷,,1640-89-7
2-乙基己胺,3-(氨基甲基)庚烷,104-75-6
乙基己醛,,123-05-7
3-乙基己烷,,619-99-8
N-乙基间甲苯胺,乙氨基间甲苯,102-27-2
乙基硫酸,酸式硫酸乙酯,540-82-9
N-乙基吗啉,"N-乙基四氢-1,4-噁嗪",100-74-3
N-乙基哌啶,N-乙基六氢吡啶；1-乙基哌啶,766-09-6
N-乙基全氟辛基磺酰胺,,4151-50-2
乙基三氯硅烷,三氯乙基硅烷,115-21-9
乙基三乙氧基硅烷,三乙氧基乙基硅烷,28680
3-乙基戊烷,,617-78-7
乙基烯丙基醚,烯丙基乙基醚,557-31-3
"S-乙基亚磺酰甲基-O,O-二异丙基二硫代磷酸酯",丰丙磷,1434432
乙基正丁基醚,乙氧基丁烷；乙丁醚,628-81-9
乙腈,甲基氰,27522
乙硫醇,氢硫基乙烷；巯基乙烷,27607
2-乙硫基苄基N-甲基氨基甲酸酯 ,乙硫苯威,29973-13-5
乙醚,二乙基醚,60-29-7
乙硼烷,二硼烷,19287-45-7
乙醛,,75-07-0
乙醛肟,亚乙基羟胺；亚乙基胲,107-29-9
乙炔,电石气,74-86-2
乙酸[含量＞80%],醋酸,64-19-7
乙酸溶液[10%＜含量≤80%],醋酸溶液,
乙酸钡,醋酸钡,543-80-6
乙酸苯胺,醋酸苯胺,542-14-3
乙酸苯汞 ,,62-38-4
乙酸酐,醋酸酐,108-24-7
乙酸汞,乙酸高汞；醋酸汞,1600-27-7
乙酸环己酯,醋酸环己酯,622-45-7
乙酸甲氧基乙基汞,醋酸甲氧基乙基汞,151-38-2
乙酸甲酯,醋酸甲酯,79-20-9
乙酸间甲酚酯,醋酸间甲酚酯,122-46-3
乙酸铍,醋酸铍,543-81-7
乙酸铅,醋酸铅,301-04-2
乙酸三甲基锡,醋酸三甲基锡,1118-14-5
乙酸三乙基锡,三乙基乙酸锡,1907-13-7
乙酸叔丁酯,醋酸叔丁酯,540-88-5
乙酸烯丙酯,醋酸烯丙酯,591-87-7
乙酸亚汞,,631-60-7
乙酸亚铊,乙酸铊；醋酸铊,563-68-8
乙酸乙二醇乙醚,乙酸乙基溶纤剂；乙二醇乙醚乙酸酯；2-乙氧基乙酸乙酯,111-15-9
乙酸乙基丁酯,醋酸乙基丁酯；乙基丁基乙酸酯,10031-87-5
乙酸乙烯酯[稳定的],乙烯基乙酸酯；醋酸乙烯酯,108-05-4
乙酸乙酯,醋酸乙酯,141-78-6
乙酸异丙烯酯,醋酸异丙烯酯,108-22-5
乙酸异丙酯,醋酸异丙酯,108-21-4
乙酸异丁酯,醋酸异丁酯,110-19-0
乙酸异戊酯,醋酸异戊酯,123-92-2
乙酸正丙酯,醋酸正丙酯,109-60-4
乙酸正丁酯,醋酸正丁酯,123-86-4
乙酸正己酯,醋酸正己酯,142-92-7
乙酸正戊酯,醋酸正戊酯,628-63-7
乙酸仲丁酯,醋酸仲丁酯,105-46-4
乙烷,,74-84-0
乙烯,,74-85-1
乙烯(2-氯乙基)醚,(2-氯乙基)乙烯醚,110-75-8
4-乙烯-1-环己烯,4-乙烯基环己烯,100-40-3
乙烯砜,二乙烯砜,77-77-0
2-乙烯基吡啶,,100-69-6
4-乙烯基吡啶,,100-43-6
乙烯基甲苯异构体混合物[稳定的],,25013-15-4
4-乙烯基间二甲苯,"2,4-二甲基苯乙烯",1195-32-0
乙烯基三氯硅烷[稳定的],三氯乙烯硅烷,75-94-5
N-乙烯基乙撑亚胺,N-乙烯基氮丙环,5628-99-9
乙烯基乙醚[稳定的],乙基乙烯醚；乙氧基乙烯,109-92-2
乙烯基乙酸异丁酯,,24342-03-8
乙烯三乙氧基硅烷,三乙氧基乙烯硅烷,78-08-0
N-乙酰对苯二胺,对氨基苯乙酰胺；对乙酰氨基苯胺,122-80-5
"乙酰过氧化磺酰环己烷[含量≤32%,含B型稀释剂≥68%]",过氧化乙酰磺酰环己烷,3179-56-4
"乙酰过氧化磺酰环己烷[含量≤82%,含水≥12%]",,
乙酰基乙烯酮[稳定的],双烯酮；二乙烯酮,674-82-8
3-(α-乙酰甲基苄基)-4-羟基香豆素,杀鼠灵,81-81-2
乙酰氯,氯化乙酰,75-36-5
乙酰替硫脲,1-乙酰硫脲,591-08-2
乙酰亚砷酸铜,巴黎绿；祖母绿；醋酸亚砷酸铜；翡翠绿；帝绿；苔绿；维也纳绿；草地绿；翠绿,12002-03-8
2-乙氧基苯胺,邻氨基苯乙醚；邻乙氧基苯胺,94-70-2
3-乙氧基苯胺,间乙氧基苯胺；间氨基苯乙醚,621-33-0
4-乙氧基苯胺,对乙氧基苯胺；对氨基苯乙醚,156-43-4
